중산도면,단가,수량,영업납기,선급
056891,52115,20,2021-09-17,1
056892,52115,5,2021-12-26,0
056892,52115,10,2021-05-16,0
056892,52115,20,2021-06-01,0
056902,106952,28,2021-02-09,0
056902,106952,112,2021-08-07,0
056902,106952,224,2021-04-24,0
056903,43937,8,2021-02-06,0
056903,43937,31,2021-03-22,0
056903,43937,62,2021-04-18,0
056904,145749,21,2021-12-06,0
056904,145749,170,2021-04-17,0
056904,145749,340,2021-01-12,0
056905,179208,12,2021-08-19,0
056905,179208,25,2021-04-19,0
056905,179208,50,2021-08-22,0
056906,10156,3,2021-09-15,1
056906,10156,26,2021-03-04,1
056906,10156,52,2021-07-14,0
056907,179208,42,2021-01-23,0
056907,179208,84,2021-06-25,1
056907,179208,168,2021-06-12,0
056908,14901,5,2021-08-15,0
056908,14901,33,2021-04-29,0
056908,14901,66,2021-11-13,0
056921,26391,4,2021-08-07,0
056921,26391,33,2021-03-25,0
056921,26391,66,2021-07-23,0
056928,27256,1,2021-02-02,0
056928,27256,3,2021-07-02,1
056928,27256,6,2021-10-29,0
056936,179208,13,2021-06-02,1
056936,179208,41,2021-01-12,0
056936,179208,82,2021-03-27,0
056938,52115,2,2021-10-27,0
056938,52115,5,2021-10-31,0
056938,52115,11,2021-03-18,0
056943,18303,4,2021-10-19,0
056943,18303,57,2021-03-21,0
056943,18303,114,2021-04-06,0
056946,18691,2,2021-08-14,0
056946,18691,5,2021-09-06,0
056946,18691,10,2021-11-10,0
056947,81204,8,2021-12-14,0
056947,81204,17,2021-06-01,0
056947,81204,34,2021-08-17,0
056948,8493,2,2021-05-09,0
056948,8493,4,2021-06-18,0
056948,8493,8,2021-05-25,0
056949,52115,3,2021-03-19,0
056949,52115,6,2021-07-07,1
056949,52115,13,2021-07-01,1
056962,6498,1,2021-04-13,0
056962,6498,2,2021-12-05,0
056962,6498,4,2021-06-28,1
056963,6498,1,2021-09-01,0
056963,6498,1,2021-06-26,0
056963,6498,3,2021-08-22,1
056964,6498,1,2021-06-07,0
056964,6498,1,2021-05-17,0
056964,6498,3,2021-01-06,0
056965,6498,1,2021-10-29,0
056965,6498,2,2021-07-17,0
056965,6498,4,2021-01-05,1
056967,6498,1,2021-04-01,0
056967,6498,2,2021-11-06,1
056967,6498,5,2021-10-29,0
056968,13140,5,2021-03-21,0
056968,13140,10,2021-09-06,0
056968,13140,20,2021-08-01,0
056973,6332,1,2021-03-12,0
056973,6332,6,2021-01-21,0
056973,6332,12,2021-09-20,0
056978,106952,12,2021-09-09,0
056978,106952,49,2021-11-18,0
056978,106952,98,2021-10-02,0
056980,6516,2,2021-01-20,1
056980,6516,11,2021-09-15,0
056980,6516,22,2021-07-31,0
056981,6332,3,2021-07-25,0
056981,6332,13,2021-09-07,0
056981,6332,26,2021-12-22,0
056982,20470,3,2021-08-21,0
056982,20470,25,2021-08-23,0
056982,20470,50,2021-09-12,0
056983,8767,4,2021-10-04,0
056983,8767,19,2021-02-18,0
056983,8767,38,2021-07-16,0
056984,25684,4,2021-03-16,0
056984,25684,39,2021-04-16,0
056984,25684,78,2021-09-28,0
056986,81204,8,2021-11-04,0
056986,81204,17,2021-05-03,0
056986,81204,34,2021-08-09,0
056988,27256,2,2021-11-13,1
056988,27256,7,2021-03-26,0
056988,27256,14,2021-06-28,0
056989,106952,15,2021-09-14,0
056989,106952,59,2021-09-08,0
056989,106952,118,2021-01-02,0
056993,7149,1,2021-01-04,1
056993,7149,3,2021-10-14,0
056993,7149,7,2021-12-01,1
056994,179208,26,2021-08-17,0
056994,179208,52,2021-12-21,0
056994,179208,104,2021-12-31,0
056995,81204,8,2021-11-08,1
056995,81204,16,2021-11-29,1
056995,81204,32,2021-12-06,0
056996,179208,21,2021-08-01,0
056996,179208,42,2021-02-13,0
056996,179208,85,2021-08-04,1
056997,52115,6,2021-09-13,0
056997,52115,11,2021-09-15,0
056997,52115,22,2021-12-24,0
057003,40323,5,2021-12-09,0
057003,40323,14,2021-11-23,0
057003,40323,28,2021-08-17,0
057005,6557,3,2021-01-22,0
057005,6557,27,2021-06-15,0
057005,6557,54,2021-04-20,1
057009,33640,4,2021-03-29,0
057009,33640,13,2021-11-04,0
057009,33640,26,2021-05-22,0
057011,14901,5,2021-08-20,0
057011,14901,30,2021-01-08,0
057011,14901,60,2021-07-23,0
057014,52115,6,2021-08-31,0
057014,52115,12,2021-01-12,0
057014,52115,24,2021-08-12,1
057017,6498,2,2021-01-05,0
057017,6498,4,2021-09-24,0
057017,6498,8,2021-05-18,0
057021,179208,16,2021-07-31,0
057021,179208,32,2021-05-16,0
057021,179208,65,2021-08-02,1
057022,179208,18,2021-03-14,0
057022,179208,36,2021-12-01,1
057022,179208,72,2021-03-21,0
057023,106952,18,2021-01-04,0
057023,106952,72,2021-10-08,0
057023,106952,144,2021-07-25,0
057024,179208,17,2021-01-20,0
057024,179208,35,2021-08-14,0
057024,179208,70,2021-09-14,0
057025,6498,1,2021-07-26,0
057025,6498,1,2021-11-08,1
057025,6498,3,2021-11-13,0
057027,6498,3,2021-10-02,0
057027,6498,6,2021-02-22,1
057027,6498,12,2021-09-12,0
057028,27256,2,2021-09-16,0
057028,27256,8,2021-10-17,0
057028,27256,16,2021-12-03,1
057035,15218,6,2021-01-25,0
057035,15218,34,2021-04-07,0
057035,15218,68,2021-02-12,0
057041,179208,39,2021-08-29,0
057041,179208,119,2021-08-16,0
057041,179208,238,2021-08-28,0
057044,27907,3,2021-01-12,0
057044,27907,10,2021-05-13,0
057044,27907,20,2021-09-04,1
057045,21260,5,2021-02-16,0
057045,21260,42,2021-11-24,0
057045,21260,84,2021-11-24,0
057047,6498,1,2021-10-09,1
057047,6498,1,2021-01-29,0
057047,6498,2,2021-05-29,0
057049,106952,16,2021-05-11,1
057049,106952,65,2021-04-23,0
057049,106952,130,2021-02-23,0
057061,86821,4,2021-11-17,0
057061,86821,8,2021-12-01,0
057061,86821,16,2021-05-26,0
057064,179208,14,2021-06-11,0
057064,179208,29,2021-08-16,0
057064,179208,58,2021-06-18,1
057068,104092,37,2021-11-16,0
057068,104092,226,2021-04-15,1
057068,104092,452,2021-07-03,0
057069,179208,5,2021-01-28,0
057069,179208,10,2021-08-13,0
057069,179208,20,2021-04-22,1
057093,8493,2,2021-02-06,0
057093,8493,4,2021-02-28,0
057093,8493,8,2021-03-16,0
057094,6498,1,2021-06-17,0
057094,6498,1,2021-02-26,0
057094,6498,2,2021-06-21,1
057095,8493,2,2021-02-08,0
057095,8493,4,2021-11-18,0
057095,8493,8,2021-08-06,0
057096,179208,133,2021-06-29,0
057096,179208,266,2021-11-22,0
057096,179208,532,2021-05-11,1
057097,179208,31,2021-06-07,0
057097,179208,93,2021-01-10,0
057097,179208,186,2021-05-27,0
057099,104092,25,2021-07-24,0
057099,104092,127,2021-02-14,0
057099,104092,254,2021-07-16,0
057107,179208,46,2021-08-12,0
057107,179208,91,2021-06-11,0
057107,179208,182,2021-04-17,1
057108,179208,14,2021-10-08,0
057108,179208,29,2021-03-13,0
057108,179208,58,2021-07-10,0
057109,104092,24,2021-05-15,0
057109,104092,143,2021-03-08,0
057109,104092,286,2021-08-29,0
057119,104092,53,2021-08-30,0
057119,104092,266,2021-01-23,0
057119,104092,532,2021-03-26,1
057122,145749,13,2021-10-28,0
057122,145749,105,2021-06-13,0
057122,145749,210,2021-04-18,0
057133,27256,3,2021-04-19,0
057133,27256,9,2021-01-29,0
057133,27256,18,2021-08-13,0
057135,6498,1,2021-04-12,0
057135,6498,2,2021-02-04,0
057135,6498,4,2021-02-25,0
057136,6498,1,2021-09-23,0
057136,6498,2,2021-07-27,0
057136,6498,4,2021-10-09,1
057143,6498,2,2021-06-29,0
057143,6498,5,2021-08-25,0
057143,6498,10,2021-07-12,0
057149,27256,2,2021-05-12,0
057149,27256,5,2021-08-25,0
057149,27256,10,2021-08-01,0
057150,35875,6,2021-05-14,0
057150,35875,50,2021-08-20,0
057150,35875,100,2021-05-04,0
057152,77242,7,2021-08-10,0
057152,77242,14,2021-04-22,0
057152,77242,28,2021-02-22,0
057155,77242,3,2021-08-11,0
057155,77242,7,2021-11-11,1
057155,77242,15,2021-01-10,0
057156,179208,18,2021-08-24,0
057156,179208,35,2021-01-08,0
057156,179208,70,2021-10-07,0
057157,104092,15,2021-10-15,0
057157,104092,76,2021-10-04,0
057157,104092,152,2021-08-16,0
057159,6498,1,2021-03-20,0
057159,6498,2,2021-05-30,0
057159,6498,4,2021-08-28,0
057165,6498,1,2021-12-28,0
057165,6498,1,2021-07-19,0
057165,6498,3,2021-04-28,1
057166,6498,1,2021-02-15,0
057166,6498,1,2021-03-01,0
057166,6498,3,2021-03-24,0
057167,6498,1,2021-03-03,0
057167,6498,1,2021-01-04,0
057167,6498,2,2021-09-11,0
057170,13583,4,2021-02-21,0
057170,13583,21,2021-11-04,0
057170,13583,42,2021-04-05,0
057171,27256,2,2021-11-21,0
057171,27256,6,2021-08-30,0
057171,27256,12,2021-04-02,0
057178,28824,3,2021-10-30,0
057178,28824,10,2021-12-03,0
057178,28824,20,2021-09-12,0
057179,6498,1,2021-10-12,0
057179,6498,2,2021-01-04,0
057179,6498,4,2021-06-24,1
057180,6516,1,2021-10-22,0
057180,6516,6,2021-03-08,0
057180,6516,12,2021-01-15,0
057185,49390,7,2021-12-19,0
057185,49390,51,2021-08-18,0
057185,49390,102,2021-06-07,1
057186,13232,4,2021-01-30,0
057186,13232,18,2021-07-08,1
057186,13232,36,2021-10-20,1
057187,6498,2,2021-10-31,1
057187,6498,4,2021-03-26,0
057187,6498,8,2021-06-29,0
057189,179208,21,2021-01-04,0
057189,179208,42,2021-11-02,0
057189,179208,84,2021-07-02,0
057190,179208,27,2021-02-26,0
057190,179208,80,2021-11-28,0
057190,179208,160,2021-09-27,0
057192,8844,4,2021-03-12,0
057192,8844,17,2021-07-30,0
057192,8844,34,2021-12-22,0
057193,8493,4,2021-03-19,0
057193,8493,8,2021-04-04,1
057193,8493,16,2021-01-12,0
057194,45856,8,2021-09-22,0
057194,45856,71,2021-10-09,0
057194,45856,142,2021-12-06,0
057195,109155,10,2021-01-17,0
057195,109155,69,2021-08-10,0
057195,109155,138,2021-03-22,0
057202,18691,5,2021-01-13,0
057202,18691,9,2021-11-04,0
057202,18691,18,2021-12-21,1
057204,6498,1,2021-03-05,1
057204,6498,3,2021-05-15,0
057204,6498,7,2021-05-02,0
057206,106952,13,2021-07-21,0
057206,106952,54,2021-05-31,0
057206,106952,108,2021-10-08,0
057215,104092,13,2021-12-12,0
057215,104092,65,2021-02-06,0
057215,104092,130,2021-06-19,1
057220,15218,6,2021-11-05,1
057220,15218,35,2021-10-14,0
057220,15218,70,2021-01-11,0
057221,6498,1,2021-04-19,0
057221,6498,3,2021-05-13,0
057221,6498,6,2021-08-29,0
057223,6516,3,2021-09-23,1
057223,6516,14,2021-03-03,0
057223,6516,28,2021-12-16,0
057227,52115,2,2021-08-25,1
057227,52115,5,2021-01-12,0
057227,52115,11,2021-07-30,0
057228,104092,13,2021-04-01,0
057228,104092,76,2021-01-10,0
057228,104092,152,2021-08-20,1
057229,15218,6,2021-01-02,0
057229,15218,32,2021-05-05,0
057229,15218,64,2021-03-01,0
057232,6516,1,2021-07-05,1
057232,6516,7,2021-01-06,0
057232,6516,14,2021-05-06,0
057233,41210,6,2021-07-10,1
057233,41210,45,2021-05-19,0
057233,41210,90,2021-09-20,0
057237,6498,1,2021-03-07,0
057237,6498,2,2021-03-03,0
057237,6498,5,2021-12-06,0
057240,179208,8,2021-03-12,1
057240,179208,16,2021-10-05,0
057240,179208,33,2021-08-22,0
057242,101291,9,2021-02-02,0
057242,101291,19,2021-04-09,0
057242,101291,38,2021-06-06,0
057243,50351,7,2021-01-08,1
057243,50351,28,2021-12-29,0
057243,50351,56,2021-10-09,0
057244,11941,3,2021-10-06,1
057244,11941,37,2021-08-01,0
057244,11941,74,2021-11-19,0
057245,179208,25,2021-12-20,0
057245,179208,50,2021-12-06,0
057245,179208,100,2021-01-22,0
057246,27256,3,2021-10-06,0
057246,27256,9,2021-01-09,0
057246,27256,18,2021-04-15,0
057247,22720,4,2021-10-03,0
057247,22720,30,2021-06-18,0
057247,22720,60,2021-11-22,0
057248,6516,2,2021-02-01,0
057248,6516,11,2021-04-15,0
057248,6516,22,2021-02-21,0
057249,100388,15,2021-10-12,0
057249,100388,194,2021-09-07,0
057249,100388,388,2021-02-17,0
057250,27256,2,2021-07-30,0
057250,27256,7,2021-05-18,0
057250,27256,14,2021-10-08,1
057251,52115,6,2021-11-30,0
057251,52115,11,2021-09-19,0
057251,52115,22,2021-10-19,0
057263,8493,2,2021-08-18,0
057263,8493,4,2021-11-02,0
057263,8493,9,2021-07-03,1
057264,52115,3,2021-03-06,1
057264,52115,6,2021-03-31,0
057264,52115,12,2021-10-08,0
057265,179208,5,2021-12-30,0
057265,179208,11,2021-11-06,1
057265,179208,22,2021-03-18,1
057266,179208,6,2021-05-02,0
057266,179208,12,2021-06-12,0
057266,179208,25,2021-03-08,0
057269,8844,4,2021-10-01,1
057269,8844,15,2021-11-22,0
057269,8844,30,2021-02-16,0
057286,73747,6,2021-10-20,0
057286,73747,19,2021-09-23,0
057286,73747,38,2021-01-03,0
057287,179208,10,2021-03-24,0
057287,179208,21,2021-07-30,1
057287,179208,42,2021-06-30,0
057288,179208,12,2021-09-15,1
057288,179208,24,2021-09-10,1
057288,179208,48,2021-02-17,0
057290,179208,35,2021-11-03,0
057290,179208,70,2021-05-20,0
057290,179208,140,2021-04-16,0
057293,106952,31,2021-07-17,0
057293,106952,123,2021-05-21,1
057293,106952,246,2021-10-30,1
057301,6498,1,2021-06-22,0
057301,6498,2,2021-12-04,1
057301,6498,4,2021-06-24,0
057302,179208,17,2021-09-09,0
057302,179208,51,2021-04-13,0
057302,179208,102,2021-11-21,0
057303,179208,16,2021-07-12,0
057303,179208,48,2021-04-08,0
057303,179208,96,2021-03-28,1
057306,6498,1,2021-12-19,0
057306,6498,2,2021-05-27,0
057306,6498,4,2021-09-29,0
057309,179208,80,2021-03-10,0
057309,179208,161,2021-09-03,1
057309,179208,322,2021-03-19,0
057312,13232,4,2021-09-13,0
057312,13232,16,2021-05-30,0
057312,13232,32,2021-10-30,0
057313,109083,7,2021-01-03,0
057313,109083,22,2021-09-25,0
057313,109083,44,2021-07-15,0
057314,6498,1,2021-06-14,0
057314,6498,3,2021-08-16,0
057314,6498,7,2021-08-01,0
057315,106952,16,2021-06-13,1
057315,106952,63,2021-11-16,0
057315,106952,126,2021-02-25,0
057317,8493,2,2021-04-17,0
057317,8493,4,2021-02-04,0
057317,8493,8,2021-10-07,0
057319,41077,8,2021-07-02,0
057319,41077,38,2021-04-04,0
057319,41077,76,2021-01-27,0
057322,6498,1,2021-10-01,0
057322,6498,1,2021-05-14,0
057322,6498,2,2021-10-22,1
057330,103554,9,2021-11-11,0
057330,103554,18,2021-10-21,0
057330,103554,36,2021-12-31,1
057331,104092,18,2021-08-05,1
057331,104092,90,2021-01-31,0
057331,104092,180,2021-10-08,0
057332,100388,12,2021-10-09,0
057332,100388,141,2021-07-13,0
057332,100388,282,2021-09-01,0
057351,52115,3,2021-06-02,0
057351,52115,6,2021-10-16,0
057351,52115,13,2021-03-25,1
057361,6498,1,2021-11-04,0
057361,6498,2,2021-11-20,0
057361,6498,4,2021-02-16,0
057363,6498,1,2021-08-17,0
057363,6498,3,2021-05-07,0
057363,6498,6,2021-10-09,0
057364,6498,1,2021-06-08,0
057364,6498,3,2021-11-11,0
057364,6498,7,2021-03-22,0
057365,6498,1,2021-09-19,0
057365,6498,3,2021-02-02,1
057365,6498,6,2021-07-16,0
057369,179208,17,2021-01-28,0
057369,179208,34,2021-12-06,1
057369,179208,68,2021-05-09,0
057370,6498,1,2021-04-09,0
057370,6498,2,2021-12-22,0
057370,6498,4,2021-08-08,0
057373,6498,1,2021-10-10,0
057373,6498,2,2021-09-28,0
057373,6498,4,2021-11-17,0
057381,33640,4,2021-06-10,0
057381,33640,14,2021-06-06,1
057381,33640,28,2021-04-23,0
057383,8065,2,2021-01-17,0
057383,8065,4,2021-07-14,0
057383,8065,8,2021-09-19,0
057384,6498,1,2021-10-01,0
057384,6498,3,2021-11-14,0
057384,6498,6,2021-10-31,0
057385,104092,10,2021-10-12,0
057385,104092,51,2021-09-16,0
057385,104092,102,2021-06-20,0
057386,24545,6,2021-12-07,1
057386,24545,100,2021-06-23,0
057386,24545,200,2021-12-09,0
057387,18212,3,2021-08-19,0
057387,18212,46,2021-07-31,0
057387,18212,92,2021-03-30,0
057391,15218,6,2021-05-02,0
057391,15218,31,2021-11-22,0
057391,15218,62,2021-08-26,0
057404,34772,5,2021-01-28,1
057404,34772,15,2021-10-13,1
057404,34772,30,2021-10-13,0
057405,34772,5,2021-10-13,0
057405,34772,15,2021-09-16,0
057405,34772,30,2021-06-27,1
057407,179208,19,2021-09-29,0
057407,179208,38,2021-04-14,0
057407,179208,76,2021-05-10,0
057408,179208,39,2021-07-02,0
057408,179208,79,2021-05-18,0
057408,179208,158,2021-03-08,0
057410,10500,4,2021-02-21,1
057410,10500,25,2021-10-09,0
057410,10500,50,2021-10-20,1
057411,77242,3,2021-11-17,0
057411,77242,6,2021-11-26,0
057411,77242,13,2021-07-25,0
057414,179208,11,2021-11-24,0
057414,179208,23,2021-01-20,0
057414,179208,46,2021-04-19,1
057416,81204,8,2021-03-21,0
057416,81204,17,2021-01-27,0
057416,81204,34,2021-12-15,0
057418,179208,53,2021-07-31,0
057418,179208,105,2021-06-21,0
057418,179208,210,2021-04-25,0
057422,179208,28,2021-03-28,0
057422,179208,84,2021-04-16,0
057422,179208,168,2021-08-31,0
057431,13140,2,2021-03-12,0
057431,13140,5,2021-08-21,1
057431,13140,10,2021-04-29,0
057432,179208,21,2021-05-14,1
057432,179208,42,2021-09-11,0
057432,179208,84,2021-03-27,0
057433,179208,22,2021-10-09,0
057433,179208,45,2021-08-10,1
057433,179208,90,2021-12-24,1
057462,6498,1,2021-02-15,1
057462,6498,3,2021-10-12,1
057462,6498,6,2021-08-21,0
057467,6332,3,2021-03-17,0
057467,6332,11,2021-12-29,0
057467,6332,22,2021-09-28,1
057468,6498,1,2021-02-20,0
057468,6498,1,2021-01-04,0
057468,6498,2,2021-12-16,0
057471,179208,10,2021-07-04,0
057471,179208,21,2021-05-30,0
057471,179208,42,2021-07-22,0
057475,6498,1,2021-10-27,1
057475,6498,2,2021-01-13,1
057475,6498,5,2021-05-01,1
057477,6498,1,2021-06-17,0
057477,6498,1,2021-04-05,0
057477,6498,3,2021-08-08,0
057478,6498,1,2021-11-27,0
057478,6498,1,2021-02-26,1
057478,6498,2,2021-02-17,0
057481,104092,12,2021-08-02,0
057481,104092,58,2021-04-22,1
057481,104092,116,2021-05-29,1
057487,33640,4,2021-09-28,0
057487,33640,13,2021-03-16,0
057487,33640,26,2021-01-09,1
057489,6498,1,2021-09-19,0
057489,6498,3,2021-10-03,0
057489,6498,6,2021-01-26,0
057490,18691,5,2021-03-30,0
057490,18691,9,2021-08-19,0
057490,18691,18,2021-02-07,0
057491,6498,2,2021-07-24,0
057491,6498,5,2021-02-07,0
057491,6498,10,2021-10-11,0
057492,6498,2,2021-12-23,0
057492,6498,5,2021-12-26,0
057492,6498,10,2021-06-14,0
057496,6498,1,2021-06-27,1
057496,6498,1,2021-02-18,0
057496,6498,2,2021-10-28,0
057497,6498,1,2021-02-12,0
057497,6498,1,2021-03-01,0
057497,6498,2,2021-02-05,0
057503,106952,16,2021-02-23,0
057503,106952,63,2021-06-17,0
057503,106952,126,2021-10-28,0
057504,102669,8,2021-02-04,0
057504,102669,25,2021-01-08,1
057504,102669,50,2021-02-26,1
057505,50351,7,2021-04-06,1
057505,50351,30,2021-05-14,0
057505,50351,60,2021-01-21,0
057507,27256,3,2021-12-26,0
057507,27256,10,2021-10-21,0
057507,27256,20,2021-12-06,0
057508,6332,2,2021-04-08,0
057508,6332,7,2021-06-29,0
057508,6332,14,2021-09-06,0
057509,27256,2,2021-02-18,0
057509,27256,5,2021-10-22,0
057509,27256,10,2021-02-22,0
057510,27256,2,2021-03-27,0
057510,27256,7,2021-03-15,0
057510,27256,14,2021-10-20,0
057513,179208,5,2021-01-15,0
057513,179208,11,2021-01-16,0
057513,179208,23,2021-06-01,0
057518,6516,2,2021-10-01,0
057518,6516,13,2021-03-16,0
057518,6516,26,2021-11-03,0
057520,179208,50,2021-12-27,0
057520,179208,150,2021-07-17,0
057520,179208,300,2021-05-10,0
057539,103554,4,2021-04-19,0
057539,103554,9,2021-06-08,0
057539,103554,18,2021-10-16,1
057540,77242,3,2021-07-04,0
057540,77242,7,2021-07-07,0
057540,77242,15,2021-01-04,0
057550,179208,13,2021-09-21,0
057550,179208,27,2021-06-30,0
057550,179208,54,2021-12-15,1
057552,109155,52,2021-02-18,0
057552,109155,367,2021-05-05,0
057552,109155,734,2021-09-21,1
057561,101291,4,2021-11-06,0
057561,101291,9,2021-05-27,0
057561,101291,19,2021-10-07,0
057563,6498,1,2021-11-20,0
057563,6498,1,2021-04-22,1
057563,6498,3,2021-12-06,0
057565,27256,2,2021-04-25,0
057565,27256,7,2021-03-18,0
057565,27256,14,2021-08-25,0
057572,6332,2,2021-08-23,0
057572,6332,8,2021-12-13,0
057572,6332,16,2021-07-18,0
057573,6332,1,2021-10-03,1
057573,6332,6,2021-06-20,1
057573,6332,12,2021-10-21,0
057574,14901,5,2021-03-17,0
057574,14901,32,2021-10-28,0
057574,14901,64,2021-09-21,0
057575,17612,5,2021-01-05,0
057575,17612,25,2021-10-29,0
057575,17612,50,2021-02-10,0
057576,106952,10,2021-04-23,0
057576,106952,42,2021-08-19,0
057576,106952,84,2021-02-03,0
057579,179208,17,2021-02-26,0
057579,179208,35,2021-04-02,0
057579,179208,70,2021-03-24,0
057582,35875,6,2021-05-19,0
057582,35875,47,2021-11-06,0
057582,35875,94,2021-01-01,0
057584,6516,2,2021-09-02,0
057584,6516,12,2021-05-17,0
057584,6516,24,2021-08-12,0
057585,6498,3,2021-01-17,0
057585,6498,6,2021-03-11,0
057585,6498,12,2021-05-11,0
057587,73747,6,2021-06-01,1
057587,73747,19,2021-07-28,0
057587,73747,38,2021-12-14,1
057588,109155,10,2021-11-23,0
057588,109155,67,2021-12-09,0
057588,109155,134,2021-04-30,1
057593,77242,3,2021-05-02,0
057593,77242,6,2021-11-03,1
057593,77242,13,2021-03-26,0
057595,52115,3,2021-05-04,0
057595,52115,6,2021-01-22,0
057595,52115,13,2021-01-29,1
057599,15483,4,2021-06-12,0
057599,15483,31,2021-03-19,0
057599,15483,62,2021-07-09,0
057606,98424,11,2021-02-16,0
057606,98424,126,2021-10-29,0
057606,98424,252,2021-06-02,0
057607,27256,3,2021-08-13,0
057607,27256,9,2021-01-11,0
057607,27256,18,2021-12-10,0
057608,27256,2,2021-04-17,0
057608,27256,7,2021-09-16,0
057608,27256,14,2021-01-01,0
057609,77242,3,2021-05-21,0
057609,77242,7,2021-01-09,0
057609,77242,14,2021-03-27,0
057613,13140,5,2021-07-15,1
057613,13140,10,2021-03-10,0
057613,13140,20,2021-11-03,1
057615,6332,2,2021-01-27,0
057615,6332,8,2021-12-25,1
057615,6332,16,2021-12-08,0
057616,27256,2,2021-12-28,0
057616,27256,7,2021-01-05,0
057616,27256,14,2021-05-21,0
057617,6516,1,2021-03-02,0
057617,6516,9,2021-11-20,0
057617,6516,18,2021-09-07,0
057618,8493,4,2021-03-09,0
057618,8493,8,2021-10-29,1
057618,8493,16,2021-06-12,0
057619,9195,4,2021-01-29,0
057619,9195,23,2021-10-09,1
057619,9195,46,2021-08-06,0
057621,6516,2,2021-09-21,1
057621,6516,10,2021-02-11,0
057621,6516,20,2021-09-09,1
057622,179208,23,2021-10-13,0
057622,179208,46,2021-06-03,0
057622,179208,92,2021-03-31,0
057623,179208,17,2021-06-04,0
057623,179208,34,2021-06-07,0
057623,179208,68,2021-03-17,0
057625,179208,26,2021-09-08,0
057625,179208,53,2021-06-01,1
057625,179208,106,2021-09-13,0
057626,81204,4,2021-09-07,1
057626,81204,8,2021-06-26,0
057626,81204,17,2021-09-24,0
057627,77242,3,2021-11-21,0
057627,77242,7,2021-10-20,0
057627,77242,14,2021-01-06,1
057628,109083,7,2021-07-04,1
057628,109083,23,2021-07-24,0
057628,109083,46,2021-01-01,0
057634,40323,5,2021-01-17,0
057634,40323,14,2021-03-19,0
057634,40323,28,2021-12-22,0
057637,104092,28,2021-03-28,0
057637,104092,141,2021-03-07,0
057637,104092,282,2021-02-18,0
057639,104092,37,2021-01-23,0
057639,104092,184,2021-02-03,0
057639,104092,368,2021-10-04,0
057645,14481,6,2021-08-04,0
057645,14481,56,2021-04-25,0
057645,14481,112,2021-12-18,0
057646,11455,6,2021-04-13,1
057646,11455,64,2021-09-16,0
057646,11455,128,2021-07-05,0
057647,46140,8,2021-02-13,0
057647,46140,56,2021-09-20,0
057647,46140,112,2021-06-13,1
057648,109155,12,2021-03-08,1
057648,109155,87,2021-05-02,0
057648,109155,174,2021-03-06,1
057654,109155,54,2021-01-10,0
057654,109155,376,2021-01-16,0
057654,109155,752,2021-10-16,1
057655,179208,7,2021-04-01,0
057655,179208,14,2021-05-13,0
057655,179208,28,2021-07-19,0
057660,179208,9,2021-01-28,1
057660,179208,19,2021-07-01,1
057660,179208,39,2021-03-26,1
057661,77242,7,2021-04-16,0
057661,77242,14,2021-01-20,0
057661,77242,28,2021-08-27,0
057665,179208,14,2021-05-05,0
057665,179208,28,2021-06-29,1
057665,179208,57,2021-01-04,0
057667,6498,3,2021-12-07,0
057667,6498,5,2021-03-26,0
057667,6498,10,2021-11-22,0
057674,104092,26,2021-04-06,0
057674,104092,130,2021-07-28,0
057674,104092,260,2021-11-21,0
057684,52115,2,2021-07-17,0
057684,52115,5,2021-05-23,0
057684,52115,11,2021-08-27,0
057687,179208,16,2021-02-23,0
057687,179208,33,2021-03-21,0
057687,179208,67,2021-08-22,0
057691,6498,2,2021-01-09,0
057691,6498,4,2021-02-11,1
057691,6498,8,2021-08-15,0
057693,13232,4,2021-05-14,1
057693,13232,19,2021-12-11,0
057693,13232,38,2021-03-05,0
057694,179208,16,2021-11-09,0
057694,179208,48,2021-05-13,1
057694,179208,96,2021-04-16,0
057696,179208,10,2021-07-03,0
057696,179208,21,2021-08-10,0
057696,179208,42,2021-12-11,0
057698,6498,1,2021-06-21,0
057698,6498,1,2021-10-29,1
057698,6498,3,2021-08-30,0
057699,6498,1,2021-01-17,0
057699,6498,1,2021-09-19,1
057699,6498,2,2021-10-29,0
057702,104092,24,2021-08-03,1
057702,104092,122,2021-02-09,0
057702,104092,244,2021-06-02,0
057703,6516,3,2021-03-26,1
057703,6516,16,2021-01-15,0
057703,6516,32,2021-11-06,0
057704,179208,61,2021-09-12,0
057704,179208,183,2021-08-05,0
057704,179208,366,2021-05-05,0
057706,6516,2,2021-04-07,0
057706,6516,13,2021-02-15,0
057706,6516,26,2021-02-20,0
057707,7149,3,2021-07-24,0
057707,7149,6,2021-03-11,1
057707,7149,12,2021-12-05,1
057709,106952,90,2021-09-24,0
057709,106952,358,2021-04-22,0
057709,106952,716,2021-05-10,0
057710,145749,22,2021-04-15,0
057710,145749,182,2021-06-25,0
057710,145749,364,2021-10-07,1
057711,179208,12,2021-01-14,1
057711,179208,25,2021-06-10,1
057711,179208,50,2021-12-12,0
057712,105576,32,2021-05-25,1
057712,105576,290,2021-09-23,0
057712,105576,580,2021-03-20,0
057713,98424,12,2021-08-30,0
057713,98424,133,2021-07-01,0
057713,98424,266,2021-05-04,0
057715,109155,9,2021-03-08,0
057715,109155,68,2021-08-15,0
057715,109155,136,2021-01-15,0
057716,41077,8,2021-05-14,0
057716,41077,50,2021-05-05,0
